entrezID_curated	Protein IDs	Majority protein IDs	Protein names	Fasta headers	Gene_name_orig	Nuc_rep2	Nuc_rep3	Total_rep2	Total_rep3	Q-value	species	Nuc_avg	Total_avg	valid_cnt	uid	multiple_gene_ids	gene_id_cnt	gene_id_replicate_cnt	gene_symbol_final	proteom_nuclear_logFC	proteom_nuclear_P.Value	proteom_nuclear_adj.P.Val	proteom_total_logFC	proteom_total_P.Value	proteom_total_adj.P.Val
5269	P35237;A0A024QZX5;A0A087X1N8	P35237;A0A024QZX5;A0A087X1N8	Serpin B6	>sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=1 SV=3;>tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=3 SV=1;>tr|A0A087X1N8|A0A087X1N8_HUMAN Serpin B6 OS=Homo sapiens GN=SERPINB6 PE=4 SV=1	SERPINB6	-0.03249201	-0.2718444	0.09423606	-0.1108692	0	Homo sapiens	-0.30433641	-0.01663314	4	1	FALSE	0	1	SERPINB6	-0.152168205	0.190860850930656	0.337517998290791	-0.00831657000000001	0.918083377459375	0.951650248861033
84337	K7EN05;P60002;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	K7EN05;P60002;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	Transcription elongation factor 1 homolog	>tr|K7EN05|K7EN05_HUMAN Transcription elongation factor 1 homolog OS=Homo sapiens GN=ELOF1 PE=4 SV=1;>sp|P60002|ELOF1_HUMAN Transcription elongation factor 1 homolog OS=Homo sapiens GN=ELOF1 PE=2 SV=1;>tr|K7EPC8|K7EPC8_HUMAN Transcription elongation factor	ELOF1	-0.5423111	-0.715628	-0.0391473	-0.1527086	0	Homo sapiens	-1.2579391	-0.1918559	4	2	FALSE	0	1	ELOF1	-0.62896955	0.000615363911669422	0.0085559470865489	-0.09592795	0.186253476629798	0.379377299523919
253943	A0A024R7W5;A0A087X0Q1;Q7Z739;A0A087WY31	A0A024R7W5;A0A087X0Q1;Q7Z739;A0A087WY31	YTH domain family protein 3	>tr|A0A024R7W5|A0A024R7W5_HUMAN YTH domain family, member 3, isoform CRA_a OS=Homo sapiens GN=YTHDF3 PE=4 SV=1;>tr|A0A087X0Q1|A0A087X0Q1_HUMAN YTH domain-containing family protein 3 OS=Homo sapiens GN=YTHDF3 PE=4 SV=1;>sp|Q7Z739|YTHD3_HUMAN YTH domain-cont	YTHDF3	NA	NA	0.2313095	0.005759195	0	Homo sapiens	NA	0.237068695	2	3	FALSE	0	1	YTHDF3	NA	NA	NA	0.1185343475	0.228780187885018	0.419300297490654
113230	Q96FF7;A0A044PY82;K7ELQ6	Q96FF7;A0A044PY82;K7ELQ6	Uncharacterized protein LOC113230	>sp|Q96FF7|YS003_HUMAN Uncharacterized protein LOC113230 OS=Homo sapiens PE=2 SV=4;>tr|A0A044PY82|A0A044PY82_HUMAN Protein MIR1199 OS=Homo sapiens GN=MIR1199 PE=4 SV=1;>tr|K7ELQ6|K7ELQ6_HUMAN Protein MIR1199 (Fragment) OS=Homo sapiens GN=MIR1199 PE=4 SV=1		NA	NA	NA	NA	0	Homo sapiens	NA	NA	0	4	FALSE	0	1	LOC113230	NA	NA	NA	NA	NA	NA
9686	Q14135-5;Q14135-6;G5E9M9;Q14135-2;Q14135;A0A075B6E4;G5E9F4;Q14135-4;G5E9M7;F8W708;E7ERW0;E7EQU6;E7EWF5	Q14135-5;Q14135-6;G5E9M9;Q14135-2;Q14135;A0A075B6E4;G5E9F4;Q14135-4;G5E9M7	Transcription cofactor vestigial-like protein 4	>sp|Q14135-5|VGLL4_HUMAN Isoform 5 of Transcription cofactor vestigial-like protein 4 OS=Homo sapiens GN=VGLL4;>sp|Q14135-6|VGLL4_HUMAN Isoform 6 of Transcription cofactor vestigial-like protein 4 OS=Homo sapiens GN=VGLL4;>tr|G5E9M9|G5E9M9_HUMAN Transcript	VGLL4	NA	NA	NA	NA	0	Homo sapiens	NA	NA	0	5	FALSE	0	1	VGLL4	NA	NA	NA	NA	NA	NA
79648	Q8NEM0-2;Q8NEM0-3;Q8NEM0;A0A075B6F8	Q8NEM0-2;Q8NEM0-3;Q8NEM0;A0A075B6F8	Microcephalin	>sp|Q8NEM0-2|MCPH1_HUMAN Isoform 2 of Microcephalin OS=Homo sapiens GN=MCPH1;>sp|Q8NEM0-3|MCPH1_HUMAN Isoform 3 of Microcephalin OS=Homo sapiens GN=MCPH1;>sp|Q8NEM0|MCPH1_HUMAN Microcephalin OS=Homo sapiens GN=MCPH1 PE=1 SV=3;>tr|A0A075B6F8|A0A075B6F8_HUMA	MCPH1	NA	NA	NA	NA	0	Homo sapiens	NA	NA	0	6	FALSE	0	1	MCPH1	NA	NA	NA	NA	NA	NA
57325	Q9H8E8-2;A0A075B6H4;Q9H8E8	Q9H8E8-2;A0A075B6H4;Q9H8E8	Cysteine-rich protein 2-binding protein	>sp|Q9H8E8-2|CSR2B_HUMAN Isoform 2 of Cysteine-rich protein 2-binding protein OS=Homo sapiens GN=CSRP2BP;>tr|A0A075B6H4|A0A075B6H4_HUMAN Cysteine-rich protein 2-binding protein OS=Homo sapiens GN=CSRP2BP PE=1 SV=1;>sp|Q9H8E8|CSR2B_HUMAN Cysteine-rich prote	CSRP2BP	NA	NA	NA	NA	0.0011223	Homo sapiens	NA	NA	0	7	FALSE	0	1	CSRP2BP	NA	NA	NA	NA	NA	NA
63035	H7C4B2;A0A075B6Q3;Q5H9F3-2;Q5H9F3;Q5H9F3-3	H7C4B2;A0A075B6Q3;Q5H9F3-2;Q5H9F3;Q5H9F3-3	BCL-6 corepressor-like protein 1	>tr|H7C4B2|H7C4B2_HUMAN BCL-6 corepressor-like protein 1 (Fragment) OS=Homo sapiens GN=BCORL1 PE=1 SV=1;>tr|A0A075B6Q3|A0A075B6Q3_HUMAN BCL-6 corepressor-like protein 1 (Fragment) OS=Homo sapiens GN=BCORL1 PE=1 SV=1;>sp|Q5H9F3-2|BCORL_HUMAN Isoform 2 of BC	BCORL1	NA	NA	NA	NA	0	Homo sapiens	NA	NA	0	8	FALSE	0	1	BCORL1	NA	NA	NA	NA	NA	NA
83481	A0A075B730;A0A087X1U6	A0A075B730;A0A087X1U6		>tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2;>tr|A0A087X1U6|A0A087X1U6_HUMAN Epiplakin OS=Homo sapiens GN=EPPK1 PE=4 SV=1		0.5120752	0.2294649	0.2674758	0.03773361	0	Homo sapiens	0.7415401	0.30520941	4	9	FALSE	0	2	EPPK1	0.3476899	0.0145580016898085	0.0569630621674977	0.1924116855	0.171117834256165	0.362799032076866
54460	P82921;A0A075B746	P82921;A0A075B746	28S ribosomal protein S21, mitochondrial	>sp|P82921|RT21_HUMAN 28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2;>tr|A0A075B746|A0A075B746_HUMAN 28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=1	MRPS21	-0.07454742	0.06750099	-0.003466602	0.01535482	0	Homo sapiens	-0.00704643000000001	0.011888218	4	10	FALSE	0	1	MRPS21	-0.00352321500000001	0.971874222733356	0.985138014855027	0.005944109	0.906932688422398	0.943521389157035
